Date(UTC),UnixTimeStamp,Value
12/8/16,1481155200,7.92489E+20
12/9/16,1481241600,3.14279E+19
12/10/16,1481328000,2.90273E+19
12/11/16,1481414400,3.68028E+19
12/12/16,1481500800,3.12367E+19
12/13/16,1481587200,3.09645E+19
12/14/16,1481673600,3.48867E+19
12/15/16,1481760000,3.44279E+19
12/16/16,1481846400,3.05944E+19
12/17/16,1481932800,3.28017E+19
12/18/16,1482019200,2.77232E+19
12/19/16,1482105600,3.64514E+19
12/20/16,1482192000,4.39016E+19
12/21/16,1482278400,5.47474E+19
12/22/16,1482364800,3.88444E+19
12/23/16,1482451200,2.96737E+19
12/24/16,1482537600,2.58175E+19
12/25/16,1482624000,2.42179E+19
12/26/16,1482710400,2.31204E+19
12/27/16,1482796800,3.63981E+19
12/28/16,1482883200,3.15753E+19
12/29/16,1482969600,4.07003E+19
12/30/16,1483056000,4.48109E+19
12/31/16,1483142400,2.85988E+19
1/1/17,1483228800,2.52622E+19
1/2/17,1483315200,2.81183E+19
1/3/17,1483401600,4.02453E+19
1/4/17,1483488000,3.95046E+19
1/5/17,1483574400,3.48576E+19
1/6/17,1483660800,3.13191E+19
1/7/17,1483747200,3.01845E+19
1/8/17,1483833600,3.30242E+19
1/9/17,1483920000,3.59192E+19
1/10/17,1484006400,3.87094E+19
1/11/17,1484092800,3.46341E+19
1/12/17,1484179200,3.70831E+19
1/13/17,1484265600,3.57827E+19
1/14/17,1484352000,2.87393E+19
1/15/17,1484438400,2.99815E+19
1/16/17,1484524800,3.25237E+19
1/17/17,1484611200,3.94224E+19
1/18/17,1484697600,3.39842E+19
1/19/17,1484784000,3.12953E+19
1/20/17,1484870400,3.36478E+19
1/21/17,1484956800,3.06639E+19
1/22/17,1485043200,3.57687E+19
1/23/17,1485129600,3.50189E+19
1/24/17,1485216000,4.11643E+19
1/25/17,1485302400,3.77567E+19
1/26/17,1485388800,3.64599E+19
1/27/17,1485475200,3.53494E+19
1/28/17,1485561600,3.3345E+19
1/29/17,1485648000,3.06185E+19
1/30/17,1485734400,3.27925E+19
1/31/17,1485820800,3.2009E+19
2/1/17,1485907200,3.81155E+19
2/2/17,1485993600,3.54594E+19
2/3/17,1486080000,3.40594E+19
2/4/17,1486166400,3.29717E+19
2/5/17,1486252800,3.48408E+19
2/6/17,1486339200,3.58656E+19
2/7/17,1486425600,4.60687E+19
2/8/17,1486512000,4.37137E+19
2/9/17,1486598400,4.06816E+19
2/10/17,1486684800,4.62194E+19
2/11/17,1486771200,3.84959E+19
2/12/17,1486857600,4.03368E+19
2/13/17,1486944000,6.14632E+19
2/14/17,1487030400,4.98322E+19
2/15/17,1487116800,9.05278E+19
2/16/17,1487203200,3.92112E+19
2/17/17,1487289600,3.88467E+19
2/18/17,1487376000,4.46527E+19
2/19/17,1487462400,3.63127E+19
2/20/17,1487548800,4.10345E+19
2/21/17,1487635200,5.48655E+19
2/22/17,1487721600,5.09543E+19
2/23/17,1487808000,4.33525E+19
2/24/17,1487894400,4.13392E+19
2/25/17,1487980800,4.46624E+19
2/26/17,1488067200,3.9379E+19
2/27/17,1488153600,4.50274E+19
2/28/17,1488240000,5.09627E+19
3/1/17,1488326400,5.4943E+19
3/2/17,1488412800,5.48627E+19
3/3/17,1488499200,4.64031E+19
3/4/17,1488585600,4.25194E+19
3/5/17,1488672000,4.34387E+19
3/6/17,1488758400,4.13517E+19
3/7/17,1488844800,4.38027E+19
3/8/17,1488931200,4.03175E+19
3/9/17,1489017600,4.97686E+19
3/10/17,1489104000,5.55728E+19
3/11/17,1489190400,4.79614E+19
